Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
google.com,140.879154205322,45.3870296478272,107,22.6935148239136,2606,981,5758,31.171.155.229,Tirana,Albania,44,810,3131021,Other
facebook.com,132.058382034302,50.4555702209473,239,25.2277851104736,2166,1904,67307,31.171.155.229,Tirana,Albania,46,3707,18162816,Social Media Sites
amazon.com,485.580205917358,47.9185581207275,205,23.9592790603638,1897,795,7027,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
imdb.com,483.942270278931,45.4473495483398,1264,22.7236747741699,4479,2425,707806,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Entertainment Websites
apple.com,171.164274215698,45.4668998718262,91,22.7334499359131,2072,712,255185,31.171.155.229,Tirana,Albania,46,298,86533,Other
merriam-webster.com,124.940872192383,54.1839599609375,74,27.0919799804687,38586,688,275645,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Educational Websites
pinterest.com,114.180564880371,47.0385551452637,273,23.5192775726318,1174,1168,260946,31.171.155.229,Tirana,Albania,"No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found","No WASM RTT,duration or sizes found",Social Media Sites
yelp.com,175.781488418579,46.069860458374,605,23.034930229187,1980,1975,109438,31.171.155.229,Tirana,Albania,47,2936,7620135,Other
tripadvisor.com,,,,,,,,31.171.155.229,Tirana,Albania,,,,Other
wiktionary.org,189.539432525635,45.6051826477051,116,22.8025913238525,528,527,61262,31.171.155.229,Tirana,Albania,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
dictionary.com,187.601566314697,45.7367897033691,54,22.8683948516846,58699,894,248713,31.171.155.229,Tirana,Albania,169,7942,16286661,Educational Websites
